Module	Pvalue	FDR	Young	Older
transcription regulation in cell development (M49)	0.093268612	0.356541408	0.071062044	-0.029915243
endoplasmic reticulum (M37.2)	0.093439454	0.356541408	0.094125664	-0.060150032
T cell surface signature (S0)	0.094133087	0.356541408	-0.064462528	0.031847424
inflammasome receptors and signaling (M53)	0.095398379	0.356541408	0.089089767	-0.058189826
platelet activation (II) (M32.1)	0.096561165	0.356541408	0.099444832	-0.102276558
TBA (M148)	0.096644137	0.356541408	-0.074244451	0.03887224
KLF12 targets network (M32.3)	0.098781147	0.356541408	0.115296505	-0.111347849
lysosome (M209)	0.098888668	0.356541408	0.099393687	-0.112259681
extracellular matrix, complement (M140)	0.099406073	0.356541408	0.093766098	-0.023826457
leukocyte migration (M88.0)	0.099751016	0.356541408	0.014452179	0.003977316
inositol phosphate metabolism (M129)	0.100062912	0.356541408	-0.057876549	0.041619411
enriched in monocytes (III) (M73)	0.100067281	0.356541408	0.143529038	-0.072339334
enriched in G-protein coupled receptors (M130)	0.100407838	0.356541408	-0.074139908	-0.016640017
golgi membrane (I) (M113)	0.102503608	0.356541408	0.070990109	-0.056934737
TBA (M229)	0.104856398	0.356541408	-0.060809166	0.055957412
enriched in monocytes (I) (M4.15)	0.105509055	0.356541408	0.142331923	-0.088668019
T cell differentiation via ITK and PKC (M18)	0.105806417	0.356541408	-0.093028125	0.07509733
TBA (M151)	0.107070964	0.356541408	-0.033568338	0.018793559
cell cycle, mitotic phase (M230)	0.107275521	0.356541408	-0.045323987	0.026118219
enriched in NK cells (III) (M157)	0.108366461	0.356541408	-0.07324787	0.001554405
TBA (M153)	0.109359151	0.356541408	-0.050230565	0.032853188
TLR8-BAFF network (M25)	0.109366947	0.356541408	0.136664461	-0.114688068
TBA (M70.1)	0.109698541	0.356541408	0.037948184	-0.007204507
cell cycle and growth arrest (M31)	0.110790191	0.356541408	0.158805534	-0.016197653
myeloid cell cytokines, metallopeptidases and laminins (M78)	0.112720761	0.356541408	0.056764488	0.011671887
TBA (M32.5)	0.112822279	0.356541408	0.100581727	-0.082240975
regulation of localization (GO) (M63)	0.112837701	0.356541408	0.127445831	-0.12921131
enriched for TF motif TTCNRGNNNNTTC (M172)	0.113351315	0.356541408	0.081727095	0.009697128
enriched in dendritic cells (M168)	0.120010213	0.368705949	0.063152244	-0.048859685
TBA (M128)	0.120292939	0.368705949	-0.060500698	0.036825385
TBA (M26.1)	0.121050174	0.368705949	0.00989837	-0.002157137
plasma membrane, cell junction (M162.0)	0.121481151	0.368705949	0.018442548	-0.023325992
T cell differentiation (Th2) (M19)	0.128401463	0.386320922	-0.072883132	0.026203883
Membrane, ER proteins (M134)	0.131941449	0.393549494	0.022051229	-0.000280805
Ran mediated mitosis (M15)	0.135197899	0.395722191	-0.016458871	0.014618911
extracellular matrix, collagen (M210)	0.136470842	0.395722191	0.016004278	-0.014016476
regulation of transcription, transcription factors (M213)	0.13765977	0.395722191	-0.065114693	0.040423511
cell adhesion, membrane (M133.0)	0.13783039	0.395722191	0.032577948	-0.019267674
cell junction (M162.1)	0.138388396	0.395722191	0.018330379	-0.017072736
T cell activation (I) (M7.1)	0.144691493	0.410354562	-0.065517546	0.033972358
enriched in T cells (I) (M7.0)	0.148036867	0.411059574	-0.083940667	0.019798239
T cell activation (II) (M7.3)	0.149135617	0.411059574	-0.058474413	-0.003523676
T cell signaling and costimulation (M44)	0.149161482	0.411059574	0.062250602	-0.039335363
mitotic cell cycle in stimulated CD4 T cells (M4.5)	0.152345275	0.411059574	-0.033549539	0.018155386
Resting dendritic cell surface signature (S10)	0.152366312	0.411059574	0.044855462	-0.041664423
CD1 and other DC receptors (M50)	0.153651161	0.411059574	0.051182381	-0.033600762
collagen, TGFB family et al (M77)	0.153762873	0.411059574	0.024002331	0.005389863
cell cell adhesion (M133.1)	0.155855849	0.411059574	0.026482388	-0.022251875
TBA (M125)	0.157401614	0.411059574	0.015776305	-0.017384628
TBA (M120)	0.158004914	0.411059574	0.065486867	-0.090521448
chemokine cluster (II) (M27.1)	0.158008449	0.411059574	0.043389086	0.016666675
TBA (M32.7)	0.161511698	0.417037667	0.073537936	-0.04583979
TBA (M207)	0.164130438	0.420660235	0.017486008	-0.002996774
TBA (M243)	0.167589537	0.425051631	0.100203341	-0.126592812
cytoskeletal remodeling (M32.8)	0.168648149	0.425051631	0.063046226	-0.084887744
TBA (M180)	0.170480208	0.425051631	-0.08144539	0.050001277
transmembrane and ion transporters (II) (M224)	0.170757736	0.425051631	0.016904538	-0.01384968
enriched in DNA interacting proteins (M182)	0.173567551	0.426868058	-0.026385711	0.028075004
CD4 T cell surface signature Th2-stimulated (S7)	0.173954902	0.426868058	-0.039911596	0.052743113
TBA (M114.0)	0.178835675	0.434592763	0.03886435	-0.006644866
T cell activation (IV) (M52)	0.179614928	0.434592763	0.074310784	-0.056230489
enriched in cell cycle (M167)	0.182683794	0.437054871	0.09382962	0.005196401
enriched in hepatocyte nuclear factors (I) (M88.1)	0.183158833	0.437054871	0.017809391	0.012122238
TBA (M177.0)	0.191690579	0.452087594	-0.022721144	-0.011985635
enriched in activated dendritic cells (II) (M165)	0.192327765	0.452087594	0.089354039	0.024076964
targets of FOSL1/2 (M0)	0.194297349	0.452087594	0.062394264	0.016888318
nuclear pore complex (M106.0)	0.19468512	0.452087594	-0.049482745	-0.000673188
TBA (M214)	0.200540284	0.462491972	-0.040920925	0.054430107
TBA (M188)	0.201838982	0.462491972	-0.064521963	0.123768377
CORO1A-DEF6 network (I) (M32.2)	0.214131597	0.485926878	0.060025984	-0.080446134
RA, WNT, CSF receptors network (monocyte) (M23)	0.21487518	0.485926878	0.160230543	-0.079009719
xenobiotic metabolism (M164)	0.219517126	0.492015195	0.012283256	0.000868563
mitotic cell cycle in stimulated CD4 T cells (M4.11)	0.220411431	0.492015195	-0.023424931	0.016342573
Monocyte surface signature (S4)	0.231194437	0.512777404	0.101582681	-0.096894511
Plasma cell surface signature (S3)	0.235281382	0.518037869	0.0148801	-0.029861725
TBA (M208)	0.236560645	0.518037869	0.025788544	0.007872682
Activated (LPS) dendritic cell surface signature (S11)	0.238596351	0.518833242	0.040603861	0.003547241
T & B cell development, activation (M62.0)	0.239922886	0.518833242	-0.019497724	0.02334892
mitochondrial cluster (M235)	0.244737794	0.525958239	-0.029198588	0.009888596
TBA (M186)	0.249328591	0.530741672	0.022898677	0.007155748
signaling in T cells (II) (M35.1)	0.250287215	0.530741672	-0.053557571	0.013903093
extracellular matrix (II) (M2.1)	0.2517556	0.530741672	0.047828598	-0.031479672
enriched in antigen presentation (II) (M95.0)	0.253099352	0.530741672	0.068480841	-0.115209
platelet activation and degranulation (M85)	0.255339227	0.532213087	0.06334807	-0.016196104
viral sensing & immunity; IRF2 targets network (II) (M111.1)	0.2589015	0.5364067	0.089168278	0.02598175
TBA (M99)	0.260924831	0.537380903	-0.012383533	0.005960873
enriched in myeloid cells and monocytes (M81)	0.263709151	0.539901575	0.087262768	-0.017424281
enriched for promoter motif NATCACGTGAY (putative SREBF1 targets) (M178)	0.265742091	0.540863314	-0.026206118	0.002062984
proteasome (M226)	0.267938132	0.542143822	-0.066880166	0.000399254
signaling in T cells (I) (M35.0)	0.27670166	0.552870121	0.10826059	-0.051367264
TBA (M90)	0.277194758	0.552870121	0.014332503	-0.016489133
regulation of antigen presentation and immune response (M5.0)	0.278032951	0.552870121	0.044092065	-0.041254181
TBA (M248)	0.284465792	0.559581989	0.038401774	-0.050513144
chemokine cluster (I) (M27.0)	0.287037184	0.559581989	0.045960456	0.017706433
TBA (M26.0)	0.287385847	0.559581989	0.011000915	-0.004112824
TBA (M121)	0.290243529	0.559581989	-0.023609728	0.011995572
CCR1, 7 and cell signaling (M59)	0.290698522	0.559581989	0.082655956	-0.033904156
enriched in NK cells (II) (M61.0)	0.291112017	0.559581989	-0.083591943	0.02735575
TBA (M141)	0.308659315	0.586740039	0.011925286	0.015831901
golgi membrane (II) (M237)	0.30931664	0.586740039	-0.03334662	0.034141146
TBA (M236)	0.310327824	0.586740039	-0.042906028	0.006007462
heme biosynthesis (I) (M171)	0.31569165	0.590748285	0.125807943	0.221316647
putative targets of PAX3 (M89.0)	0.315862522	0.590748285	0.124267763	-0.020090479
intracellular transport (M147)	0.334663787	0.622546615	-0.026168169	0.026894241
C-MYC transcriptional network (M4.12)	0.337778271	0.623575283	-0.032511565	0.007818178
TBA (M70.0)	0.338821252	0.623575283	0.025705613	-0.018182284
TBA (M41.3)	0.346838914	0.634953779	0.014795645	0.02060928
mitotic cell division (M6)	0.348811222	0.635203594	-0.014746401	0.025578312
enriched for TF motif TNCATNTCCYR (M232)	0.355188261	0.63871676	0.022945023	-0.017949937
mitotic cell cycle in stimulated CD4 T cells (M4.9)	0.355451186	0.63871676	-0.013600226	0.020668893
IL2, IL7, TCR network (M65)	0.356278424	0.63871676	-0.037821451	0.06027024
antiviral IFN signature (M75)	0.361184433	0.644174298	0.090631491	-0.014516386
MHC-TLR7-TLR8 cluster (M146)	0.363567483	0.645099226	0.065456525	-0.133287146
lymphocyte generic cluster (M60)	0.374483142	0.658907827	-0.029715718	0.035370785
TBA (M192)	0.375158502	0.658907827	0.046258617	-0.079023962
B cell development/activation (M58)	0.378731323	0.661667572	0.048227319	0.017664805
enriched in monocytes (II) (M11.0)	0.380554471	0.661667572	0.168841725	-0.12228018
enriched in NK cells (receptor activation) (M61.2)	0.39691314	0.682292706	-0.080822151	0.053514093
TBA (M105)	0.397548463	0.682292706	0.038521284	-0.023306175
enriched in calcium signaling proteins (M239)	0.399094076	0.682292706	0.010627113	0.010425624
immune activation - generic cluster (M37.0)	0.40030468	0.682292706	0.068371977	-0.003816636
TBA (source: naive B cells) (M152.1)	0.404072628	0.682894127	-0.018877901	0.006544877
TBA (M166)	0.404604902	0.682894127	0.013775479	-0.004765245
enriched in membrane proteins (M124)	0.411228224	0.689420027	0.062441959	0.053592381
enriched in antigen presentation (I) (M71)	0.41245649	0.689420027	0.075926292	-0.135685688
enriched in monocytes (IV) (M118.0)	0.422613306	0.696933626	0.064651678	-0.052062166
chromosome Y linked (M240)	0.424742543	0.696933626	-0.029520756	-0.02770757
CD4 T cell surface signature Th1-stimulated (S6)	0.426470608	0.696933626	-0.02353723	0.036841801
TBA (M104)	0.427137224	0.696933626	0.039172394	0.014526064
cytokines - recepters cluster (M115)	0.42731438	0.696933626	-0.013506877	-0.003953954
TBA (source: memory B cells) (M152.2)	0.429037174	0.696933626	-0.00721039	-0.002431689
NK cell surface signature (S1)	0.439053082	0.70987087	-0.040685636	0.035061552
enriched in NK cells (I) (M7.2)	0.441127734	0.709907889	-0.052664782	0.029612796
TBA (M184.1)	0.447104705	0.713929266	0.012820824	-0.015880443
translation initiation factor 3 complex (M245)	0.447753326	0.713929266	0.059293755	-0.080497611
glycerophospholipid metabolism (M114.1)	0.451007111	0.715818626	0.035096257	0.016904421
lipid metabolism, endoplasmic reticulum (M92)	0.454597757	0.717165399	0.070905474	-0.031895068
DC surface signature (S5)	0.457159036	0.717165399	0.019726994	-0.009523544
TBA (M131)	0.459677854	0.717165399	0.062701774	0.069009649
cell cycle and transcription (M4.0)	0.464058142	0.717165399	0.082690166	-0.042170453
TBA (M242)	0.464612222	0.717165399	-0.027090101	0.028450156
enriched in antigen presentation (III) (M95.1)	0.464643907	0.717165399	0.054941835	-0.130267373
extracellular matrix (III) (M2.2)	0.466364783	0.717165399	-0.007076652	-0.013957403
TBA (M149)	0.474982262	0.727185233	0.00888369	-0.005421264
TBA (M220)	0.480018222	0.73165773	0.017518763	-0.011235678
erythrocyte differentiation (M173)	0.483597349	0.733880187	0.034966911	0.079727017
chaperonin mediated protein folding (I) (M204.0)	0.488309917	0.73541886	-0.025271192	-0.004684814
TBA (M98.1)	0.489189127	0.73541886	0.009282508	-0.013664942
ATF targets network (M41.4)	0.490987736	0.73541886	-0.005287344	0.011572424
TBA (M193)	0.49350871	0.736008679	0.042573944	0.068273603
cell cycle (I) (M4.1)	0.505354773	0.750440993	-0.011508468	0.020386524
nuclear pore complex (mitosis) (M106.1)	0.519496384	0.764101934	-0.00935655	0.0265732
olfactory receptors (M228)	0.519850713	0.764101934	-0.005577633	-0.00176947
TBA (M41.1)	0.521179354	0.764101934	0.008146875	0.01297722
TBA (M205)	0.53672352	0.777337567	-0.017913058	0.034815648
transmembrane transport (SLC cluster) (M154.1)	0.537633152	0.777337567	0.007250801	-0.003185707
E2F transcription factor network (M8)	0.538427914	0.777337567	-0.006826491	0.036433022
enriched in B cells (V) (M47.4)	0.539193688	0.777337567	-0.01477991	0.032878838
TBA (M201)	0.544694518	0.782009556	0.02018221	0.06848181
Hox cluster IV (M17.3)	0.553691575	0.791641673	0.009136392	-0.020885805
axon guidance (M110)	0.556911323	0.792968386	0.016958708	-0.018096844
enriched in B cells (II) (M47.1)	0.569144622	0.800166297	-0.016643266	0.062894672
muscle contraction, SRF targets (M195)	0.57029749	0.800166297	-0.00862179	-0.011943089
TBA (source: B cells) (M152.0)	0.572129371	0.800166297	-0.002801491	-0.000324866
enriched in B cell differentiation (M123)	0.576507093	0.800166297	0.018080082	0.029645571
putative targets of PAX3 (M89.1)	0.577933484	0.800166297	0.107615673	-0.047987224
cell cycle (III) (M103)	0.579276233	0.800166297	-0.007288403	0.034359099
leukocyte activation and migration (M45)	0.579468172	0.800166297	0.027026045	-0.071691257
interferon alpha response (II) (M158.1)	0.580467458	0.800166297	-0.005680761	-0.01650299
enriched for SMAD2/3 signaling (M97)	0.598901776	0.821389518	0.012981128	0.034229051
TBA (M116)	0.600611411	0.821389518	-0.00136095	0.002584858
metabolism in mitochondria, peroxisome (M187)	0.605051128	0.824203505	0.004740058	0.000840194
heme biosynthesis (II) (M222)	0.611777304	0.830097832	0.021367027	0.060486068
enriched in extracellular matrix & associated proteins (M202)	0.616924298	0.831220714	-0.010296695	-0.000299295
amino acid metabolishm and transport (M154.0)	0.617409605	0.831220714	0.003122351	0.005855997
mitotic cell cycle (M4.7)	0.620851581	0.832614911	-0.004975908	0.013162822
TBA (M108)	0.631865783	0.841933298	-0.007032699	0.004375273
cell adhesion (GO) (M117)	0.63266664	0.841933298	0.02695196	-0.002374312
enriched in naive and memory B cells (M83)	0.65301298	0.865680042	-0.016382429	0.006213483
enriched in B cells (I) (M47.0)	0.662162811	0.871137821	-0.035005694	0.072406648
cell development (M175)	0.662165453	0.871137821	-0.005660837	-0.006874749
respiratory electron transport chain (mitochondrion) (M238)	0.664886447	0.871404207	0.031305735	-0.093589743
T cell surface, activation (M36)	0.668729241	0.873133273	-0.005841404	-0.04787663
cell division (stimulated CD4+ T cells) (M46)	0.690245021	0.89626669	-0.003554245	0.039656874
Hox cluster V (M96)	0.693715758	0.89626669	0.012597644	-0.027481487
cell cycle (II) (M4.10)	0.69421813	0.89626669	-0.003374344	0.008769081
growth factor induced, enriched in nuclear receptor subfamily 4 (M94)	0.700375717	0.898400022	0.021406503	-0.007309039
immuregulation - monocytes, T and B cells (M57)	0.701749512	0.898400022	-0.014205789	0.026448692
TBA (M176)	0.703660133	0.898400022	-0.000969047	0.012344257
complement activation (II) (M112.1)	0.707326544	0.898946414	0.013272593	-0.004802558
Hox cluster VI (M107)	0.71540469	0.898946414	-0.002675495	-0.014852163
enriched in NK cells (KIR cluster) (M61.1)	0.715435319	0.898946414	0.053532822	0.042907404
Memory B cell surface signature (S9)	0.715469084	0.898946414	-0.001308829	0.01309097
TBA (M80)	0.717078643	0.898946414	-0.009658967	0.023214791
TBA (M244)	0.721547754	0.901283477	0.005082341	-0.007488254
respiratory electron transport chain (mitochondrion) (M216)	0.727496738	0.905445581	-0.012172465	-0.053949918
TBA (M184.0)	0.731991464	0.906473506	0.004043754	-0.00581482
nucleotide metabolism (M181)	0.733859181	0.906473506	-0.010047329	0.019727586
PLK1 signaling events (M4.2)	0.736182241	0.906473506	-0.003638902	0.020690551
Hox cluster III (M17.2)	0.74030052	0.906502051	0.005691888	0.00181541
Wnt signaling pathway (M206)	0.741445319	0.906502051	-0.004773592	0.003444036
double positive thymocytes (M126)	0.7508111	0.912669853	-0.003904822	-0.016505794
transcription elongation, RNA polymerase II (M234)	0.75176563	0.912669853	0.019555863	-0.105605579
integrin cell surface interactions (II) (M1.1)	0.755443341	0.913927958	0.006990114	0.01395357
enriched in B cells (VI) (M69)	0.763695475	0.915215164	-0.019991719	0.065859366
receptors, cell migration (M109)	0.765708208	0.915215164	0.009319234	0.025396149
enriched for unknown TF motif CTCNANGTGNY (M62.1)	0.765765428	0.915215164	0.005179217	0.001297105
respiratory electron transport chain (mitochondrion) (M219)	0.767087854	0.915215164	0.02805505	-0.079752048
platelet activation & blood coagulation (M199)	0.773749027	0.919990252	0.082193314	0.084269545
antigen presentation (lipids and proteins) (M28)	0.791304274	0.937388758	-0.003086691	-0.14308987
Hox cluster I (M17.0)	0.793800307	0.937388758	0.004122039	-0.011457225
platelet activation - actin binding (M196)	0.7969647	0.937924443	0.092920308	0.074978179
respiratory electron transport chain (mitochondrion) (M231)	0.800840986	0.938822694	-0.012475145	-0.042048009
cytoskeleton/actin (SRF transcription targets) (M145.0)	0.803154674	0.938822694	0.006167352	0.015987419
adhesion and migration, chemotaxis (M91)	0.810179459	0.94256411	-0.00264547	-0.019104283
interferon alpha response (I) (M158.0)	0.811803771	0.94256411	-0.002084901	-0.01646568
TBA (M41.0)	0.816654581	0.943753655	0.003664261	0.009966352
TBA (M197)	0.818283516	0.943753655	-0.000882302	0.015112438
cell division in stimulated CD4 T cells (M4.6)	0.823268644	0.946348674	-0.004248725	0.030581019
cell adhesion (lymphocyte homing) (M21)	0.829977928	0.950633944	0.020733074	0.002181207
plasma cells & B cells, immunoglobulins (M156.0)	0.836329062	0.950633944	0.013888146	0.069571588
cytoskeleton/actin (SRF transcription targets) (M145.1)	0.836555236	0.950633944	-0.011454728	0.053676474
TBA (M98.0)	0.839835045	0.950633944	-0.001933537	0.006663955
TBA (M177.1)	0.842758247	0.950633944	0.004045817	-0.02536935
chaperonin mediated protein folding (II) (M204.1)	0.843481563	0.950633944	-0.008071841	-0.02857545
enriched in B cells (III) (M47.2)	0.854530256	0.959959313	0.033770934	0.067822236
cell division (M37.3)	0.857973343	0.960317306	0.015650589	-0.018189075
G protein mediated calcium signaling (M159)	0.860399899	0.960317306	0.00881755	-0.00674264
TBA (M41.2)	0.864792904	0.960932117	-0.001308924	0.006021366
extracellular matrix (I) (M2.0)	0.866505262	0.960932117	0.004802343	-0.014659621
TBA (M161)	0.878936015	0.969759665	-0.005753266	0.060692135
TBA (source: B cells) (M217)	0.890264781	0.969759665	-0.003033299	-0.011557571
TBA (M170)	0.891542783	0.969759665	-0.001061893	-0.000652664
signal transduction, plasma membrane (M82)	0.892180297	0.969759665	-0.001568072	-0.007374422
enriched in plasma membrane proteins (I) (M135.0)	0.905975156	0.969759665	-0.001112999	0.009139591
integrin cell surface interactions (I) (M1.0)	0.908005352	0.969759665	0.009130077	0.020538571
TBA (M190)	0.912016757	0.969759665	0.005906209	0.018808208
TBA (M221)	0.912723693	0.969759665	0.002298914	-0.008755742
cell adhesion (M51)	0.914302456	0.969759665	0.009056953	0.030331442
Rho GTPase cycle (M4.14)	0.916147358	0.969759665	0.004117454	0.023534242
TBA (M183)	0.916273344	0.969759665	0.001490651	0.016718972
antigen processing and presentation (M200)	0.916801432	0.969759665	0.016847133	-0.086952627
enriched in B cells (IV) (M47.3)	0.917827417	0.969759665	0.003702488	0.033925963
cell movement, Adhesion & Platelet activation (M30)	0.920055892	0.969759665	0.040373181	0.05456295
spliceosome (M250)	0.923720798	0.969759665	0.005160898	-0.017002831
TBA (M93)	0.928551895	0.969759665	-0.002920483	0.021780716
plasma cells, immunoglobulins (M156.1)	0.928970936	0.969759665	0.02670599	0.093039212
transmembrane and ion transporters (I) (M142)	0.92898613	0.969759665	0.00154531	0.010516101
B cell surface signature (S2)	0.93144953	0.969759665	0.007366295	0.011804962
enriched in nuclear pore complex interacting proteins (M247)	0.934811722	0.969759665	0.003215514	-0.035927018
Naive B cell surface signature (S8)	0.935343696	0.969759665	0.003489448	0.006305934
enriched for cell migration (M122)	0.936126381	0.969759665	0.001473973	0.013771351
type I interferon response (M127)	0.943589976	0.974573528	0.007528579	0.052738108
metabolism of steroids (M225)	0.949288042	0.977540662	-0.000738247	0.002751255
integrin mediated leukocyte migration (M39)	0.95352803	0.97827679	0.004855268	-0.037137674
enriched in plasma membrane proteins (II) (M135.1)	0.955657673	0.97827679	-0.000678302	0.000771969
activated dendritic cells (M67)	0.962623026	0.979846956	0.002708691	0.040906124
translation initiation (M227)	0.965150789	0.979846956	0.001585382	0.014876277
enriched in hepatocyte nuclear factors (II) (M88.2)	0.965687318	0.979846956	0.003929249	0.00072347
purine nucleotide biosynthesis (M212)	0.975614402	0.987025097	-0.000958189	-0.011784816
cytoskeletal remodeling (enriched for SRF targets) (M34)	0.989047652	0.994836198	-0.000810915	0.059472917
Hox cluster II (M17.1)	0.989085699	0.994836198	0.002060524	-0.009637427
TBA (M102)	0.994086911	0.996968322	0.010218519	0.022744228
innate antiviral response (M150)	0.998204132	0.998204132	0.000238217	0.07866174
